OPCS_4.9,Description
XXXX,XXXX: No treatment
A01.1,A01.1: Hemispherectomy
A01.2,A01.2: Total lobectomy of brain
A01.3,A01.3: Partial lobectomy of brain
A01.8,A01.8: Other specified major excision of tissue of brain
A01.9,A01.9: Unspecified major excision of tissue of brain
A02.1,A02.1: Excision of lesion of tissue of frontal lobe of brain
A02.2,A02.2: Excision of lesion of tissue of temporal lobe of brain
A02.3,A02.3: Excision of lesion of tissue of parietal lobe of brain
A02.4,A02.4: Excision of lesion of tissue of occipital lobe of brain
A02.5,A02.5: Excision of lesion of tissue of cerebellum
A02.6,A02.6: Excision of lesion of tissue of brain stem
A02.7,A02.7: Excision of transcranial dermoid cyst
A02.8,A02.8: Other specified excision of lesion of tissue of brain
A02.9,A02.9: Unspecified excision of lesion of tissue of brain
A03.1,A03.1: Stereotactic leucotomy
A03.2,A03.2: Stereotactic ablation of tissue of thalamus
A03.3,A03.3: Stereotactic ablation of tissue of globus pallidus
A03.4,A03.4: Stereotactic ablation of tissue of brain stem
A03.8,A03.8: Other specified stereotactic ablation of tissue of brain
A03.9,A03.9: Unspecified stereotactic ablation of tissue of brain
A04.1,A04.1: Open biopsy of lesion of tissue of frontal lobe of brain
A04.2,A04.2: Open biopsy of lesion of tissue of temporal lobe of brain
A04.3,A04.3: Open biopsy of lesion of tissue of parietal lobe of brain
A04.4,A04.4: Open biopsy of lesion of tissue of occipital lobe of brain
A04.5,A04.5: Open biopsy of lesion of tissue of cerebellum
A04.6,A04.6: Open biopsy of lesion of tissue of brain stem
A04.8,A04.8: Other specified open biopsy of lesion of tissue of brain
A04.9,A04.9: Unspecified open biopsy of lesion of tissue of brain
A05.1,A05.1: Drainage of abscess of tissue of brain
A05.2,A05.2: Evacuation of haematoma from temporal lobe of brain
A05.3,A05.3: Evacuation of haematoma from cerebellum
A05.4,A05.4: Evacuation of intracerebral haematoma NEC
A05.8,A05.8: Other specified drainage of lesion of tissue of brain
A05.9,A05.9: Unspecified drainage of lesion of tissue of brain
A06.1,A06.1: Excision of basal encephalocele
A06.2,A06.2: Excision of occipital encephalocele
A06.3,A06.3: Excision of syncipital encephalocele
A06.4,A06.4: Repair of post-traumatic meningoencephalocele
A06.8,A06.8: Other specified other excision of lesion of tissue of brain
A06.9,A06.9: Unspecified other excision of lesion of tissue of brain
A07.1,A07.1: Open division of tissue of brain
A07.2,A07.2: Removal of foreign body from tissue of brain
A07.3,A07.3: Exploration of tissue of brain
A07.4,A07.4: Excision of abscess of tissue of brain
A07.5,A07.5: Multiple subpial transections
A07.6,A07.6: Complete callosotomy
A07.7,A07.7: Partial callosotomy
A07.8,A07.8: Other specified other open operations on tissue of brain
A07.9,A07.9: Unspecified other open operations on tissue of brain
A08.1,A08.1: Biopsy of lesion of tissue of frontal lobe of brain NEC
A08.2,A08.2: Biopsy of lesion of tissue of temporal lobe of brain NEC
A08.3,A08.3: Biopsy of lesion of tissue of parietal lobe of brain NEC
A08.4,A08.4: Biopsy of lesion of tissue of occipital lobe of brain NEC
A08.5,A08.5: Biopsy of lesion of tissue of cerebellum NEC
A08.6,A08.6: Biopsy of lesion of tissue of brain stem NEC
A08.8,A08.8: Other specified other biopsy of lesion of tissue of brain
A08.9,A08.9: Unspecified other biopsy of lesion of tissue of brain
A09.1,A09.1: Implantation of brain neurostimulator
A09.2,A09.2: Maintenance of brain neurostimulator
A09.3,A09.3: Removal of brain neurostimulator
A09.4,A09.4: Operation on brain neurostimulator NEC
A09.5,A09.5: Insertion of neurostimulator electrodes into the brain
A09.8,A09.8: Other specified neurostimulation of brain
A09.9,A09.9: Unspecified neurostimulation of brain
A10.1,A10.1: Leucotomy NEC
A10.2,A10.2: Aspiration of abscess of tissue of brain
A10.3,A10.3: Aspiration of haematoma of tissue of brain
A10.4,A10.4: Aspiration of lesion of tissue of brain NEC
A10.5,A10.5: Puncture of tissue of brain NEC
A10.6,A10.6: Insertion of carmustine wafers in neoplasm of tissue of brain
A10.7,A10.7: Stereotactic radiosurgery on tissue of brain
A10.8,A10.8: Other specified other operations on tissue of brain
A10.9,A10.9: Unspecified other operations on tissue of brain
A11.1,A11.1: Placement of depth electrodes for electroencephalography
A11.2,A11.2: Placement of surface electrodes for electroencephalography
A11.3,A11.3: Monitoring of pressure in tissue of brain
A11.4,A11.4: Cortical mapping
A11.8,A11.8: Other specified operations on tissue of brain
A11.9,A11.9: Unspecified operations on tissue of brain
A12.1,A12.1: Ventriculocisternostomy
A12.2,A12.2: Creation of ventriculovascular shunt
A12.3,A12.3: Creation of ventriculopleural shunt
A12.4,A12.4: Creation of ventriculoperitoneal shunt
A12.5,A12.5: Creation of subcutaneous cerebrospinal fluid reservoir
A12.8,A12.8: Other specified creation of connection from ventricle of brain
A12.9,A12.9: Unspecified creation of connection from ventricle of brain
A13.1,A13.1: Maintenance of proximal catheter of cerebroventricular shunt
A13.2,A13.2: Maintenance of distal catheter of cerebroventricular shunt
A13.3,A13.3: Insertion of antisyphon device into cerebroventricular shunt
A13.4,A13.4: Renewal of valve of cerebroventricular shunt
A13.8,A13.8: Other specified attention to component of connection from ventricle of brain
A13.9,A13.9: Unspecified attention to component of connection from ventricle of brain
A14.1,A14.1: Renewal of cerebroventricular shunt
A14.2,A14.2: Revision of cerebroventricular shunt NEC
A14.3,A14.3: Removal of cerebroventricular shunt
A14.4,A14.4: Irrigation of cerebroventricular shunt
A14.5,A14.5: Attention to cerebroventricular shunt NEC
A14.8,A14.8: Other specified other operations on connection from ventricle of brain
A14.9,A14.9: Unspecified other operations on connection from ventricle of brain
A16.1,A16.1: Open drainage of ventricle of brain NEC
A16.8,A16.8: Other specified other open operations on ventricle of brain
A16.9,A16.9: Unspecified other open operations on ventricle of brain
A17.1,A17.1: Endoscopic extirpation of lesion of ventricle of brain
A17.2,A17.2: Endoscopic third ventriculostomy
A17.8,A17.8: Other specified therapeutic endoscopic operations on ventricle of brain
A17.9,A17.9: Unspecified therapeutic endoscopic operations on ventricle of brain
A18.1,A18.1: Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain
A18.8,A18.8: Other specified diagnostic endoscopic examination of ventricle of brain
A18.9,A18.9: Unspecified diagnostic endoscopic examination of ventricle of brain
A20.1,A20.1: Drainage of ventricle of brain NEC
A20.2,A20.2: Ventriculography of brain
A20.3,A20.3: Monitoring of pressure in ventricle of brain
A20.8,A20.8: Other specified other operations on ventricle of brain
A20.9,A20.9: Unspecified other operations on ventricle of brain
A22.1,A22.1: Drainage of subarachnoid space of brain
A22.2,A22.2: Puncture of cistern of brain
A22.3,A22.3: Isotopic cisternography
A22.8,A22.8: Other specified operations on subarachnoid space of brain
A22.9,A22.9: Unspecified operations on subarachnoid space of brain
A24.1,A24.1: Primary microsurgical graft to facial nerve (vii)
A24.2,A24.2: Secondary microsurgical graft to facial nerve (vii)
A24.3,A24.3: Microsurgical graft to facial nerve (vii) NEC
A24.4,A24.4: Primary microsurgical graft to cranial nerve NEC
A24.5,A24.5: Secondary microsurgical graft to cranial nerve NEC
A24.6,A24.6: Microsurgical graft to cranial nerve NEC
A24.8,A24.8: Other specified graft to cranial nerve
A24.9,A24.9: Unspecified graft to cranial nerve
A25.1,A25.1: Intracranial transection of optic nerve (ii)
A25.2,A25.2: Intracranial transection of oculomotor nerve (iii)
A25.3,A25.3: Intracranial transection of trigeminal nerve (v)
A25.4,A25.4: Intracranial transection of facial nerve (vii)
A25.5,A25.5: Intracranial transection of acoustic nerve (viii)
A25.6,A25.6: Intracranial transection of glossopharyngeal nerve (ix)
A25.7,A25.7: Intracranial transection of vagus nerve (x)
